Student_ID,Age,Gender,Family_Income,Internet_Access,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Travel_Time_Minutes,Part_Time_Job,Scholarship,Stress_Index,GPA,Semester_GPA,CGPA,Semester,Parental_Education,Dropout,Department_Arts,Department_Business,Department_CS,Department_Engineering,Department_Science
35,22.8,Female,25000.0,1,2.19,95.9,2,37.3,1,1,5.2,0.76,0.14,0.02,Year 3,1,0,False,False,False,False,True
37,21.5,Male,26034.0,0,2.9,80.9,1,27.7,0,1,7.6,1.61,1.41,1.45,Year 4,1,0,False,True,False,False,False
38,17.0,Female,25000.0,1,6.16,78.5,0,43.3,0,0,4.7,3.66,3.35,3.42,Year 2,0,0,False,False,False,False,True
41,22.6,Male,25000.0,0,5.91,74.5,2,40.6,0,0,5.6,2.29,2.36,2.35,Year 2,1,0,False,False,False,True,False
42,21.4,Male,41216.0,1,7.6,85.0,1,43.4,1,1,4.4,1.62,1.69,1.69,Year 1,0,0,False,True,False,False,False
43,20.7,Male,49772.0,1,3.86,95.6,6,22.7,0,1,6.7,2.34,2.71,2.71,Year 1,1,0,False,True,False,False,False
44,20.3,Male,41183.0,1,4.15,72.1,2,35.9,1,1,8.4,2.32,2.79,2.82,Year 3,0,1,False,True,False,False,False
45,17.7,Female,25000.0,1,2.48,89.0,1,29.5,0,1,7.4,0.63,0.45,0.5,Year 4,2,0,False,False,False,True,False
46,19.4,Female,25682.0,1,3.51,69.7,2,22.9,0,0,7.9,1.58,1.43,1.43,Year 1,2,0,False,True,False,False,False
47,20.0,Male,25000.0,1,6.84,75.6,1,44.0,1,0,5.2,3.36,3.59,3.66,Year 4,1,0,False,True,False,False,False
48,23.3,Male,25000.0,1,5.13,86.5,1,22.0,1,0,3.6,4.0,3.95,4.0,Year 4,1,0,False,False,True,False,False
49,21.8,Male,25000.0,1,5.58,79.8,2,39.1,1,0,1.9,4.0,3.73,3.77,Year 2,1,0,False,True,False,False,False
50,17.1,Female,27754.0,1,4.84,93.6,3,30.8,0,0,1.8,2.8,3.38,3.38,Year 1,0,0,False,False,False,True,False
51,21.7,Female,25000.0,1,5.39,83.0,1,27.9,1,0,5.1,4.0,4.0,3.94,Year 4,1,0,False,False,True,False,False
52,20.2,Male,26368.0,1,6.52,86.2,1,23.3,0,0,6.4,2.89,2.7,2.65,Year 3,1,0,False,True,False,False,False
53,19.5,Female,25000.0,1,3.41,76.5,2,18.2,1,0,7.0,2.28,2.05,2.05,Year 3,0,0,False,True,False,False,False
54,22.3,Male,33661.0,1,4.96,73.7,4,27.0,0,0,5.9,2.16,2.42,2.47,Year 4,2,1,False,True,False,False,False
55,23.3,Female,25000.0,1,3.1,72.8,0,23.9,0,1,4.2,0.35,0.0,0.0,Year 1,1,1,False,True,False,False,False
56,23.0,Female,35396.0,1,1.35,74.5,0,31.1,1,1,6.7,0.68,0.93,0.93,Year 1,0,1,False,False,False,False,True
57,19.2,Female,56894.0,1,4.34,76.4,1,15.6,0,0,3.3,2.64,2.68,2.68,Year 4,1,0,False,False,False,False,True
58,20.3,Female,77162.0,1,4.16,91.3,3,28.2,0,1,3.5,2.09,2.39,2.57,Year 4,1,0,False,False,False,True,False
59,21.7,Female,25000.0,1,3.9,85.2,5,34.9,0,0,6.6,0.26,0.37,0.42,Year 2,2,1,False,True,False,False,False
60,23.1,Female,25000.0,1,3.17,71.8,2,21.9,0,0,3.3,0.73,0.35,0.35,Year 1,0,0,False,False,False,False,True
61,19.9,Female,25000.0,1,4.18,78.7,2,38.9,1,0,4.1,3.73,4.0,4.0,Year 3,0,0,True,False,False,False,False
62,20.6,Male,39191.0,1,4.55,81.8,3,40.2,1,1,3.7,2.03,2.3,2.32,Year 2,3,0,False,False,False,False,True
63,18.6,Male,25000.0,1,6.55,100.0,0,15.5,1,1,5.8,3.17,3.13,3.13,Year 1,1,0,False,False,False,True,False
64,18.4,Male,25000.0,1,4.7,82.1,1,20.9,0,0,6.6,1.52,1.68,1.71,Year 3,3,0,False,False,False,True,False
65,22.8,Female,32151.0,0,4.76,85.6,1,13.9,0,0,6.6,1.55,1.61,1.63,Year 2,0,0,True,False,False,False,False
66,24.0,Male,31286.0,1,3.03,74.1,2,35.1,0,1,4.5,3.64,3.06,3.04,Year 4,1,0,False,False,True,False,False
67,20.8,Male,37293.0,1,2.76,87.8,0,31.5,0,0,5.2,3.64,3.63,3.68,Year 4,1,0,False,False,False,False,True
68,23.2,Male,38801.0,1,2.72,93.0,2,10.8,1,0,6.8,4.0,4.0,4.0,Year 3,0,0,True,False,False,False,False
69,21.8,Male,36430.0,1,3.61,80.8,1,22.2,0,0,4.5,1.9,1.48,1.48,Year 1,2,0,False,False,False,True,False
70,19.6,Female,33396.0,1,4.08,86.9,4,33.7,0,0,3.9,2.82,2.97,2.97,Year 1,3,0,False,False,False,True,False
71,21.8,Female,30744.0,1,4.28,86.6,3,31.4,0,1,4.3,2.02,2.32,2.28,Year 4,1,0,False,True,False,False,False
72,24.4,Female,44305.0,1,2.94,82.6,1,44.5,0,0,4.4,3.87,3.54,3.55,Year 3,1,0,False,False,True,False,False
73,20.9,Female,25000.0,1,1.09,92.3,1,16.2,1,0,5.6,2.5,2.33,2.33,Year 1,1,0,True,False,False,False,False
74,24.4,Female,75102.0,1,3.45,75.6,2,29.9,1,0,5.5,4.0,4.0,4.0,Year 1,1,0,False,False,False,True,False
75,17.0,Male,25000.0,0,5.22,75.0,1,18.0,0,0,5.2,4.0,4.0,3.97,Year 4,2,0,False,False,True,False,False
76,22.8,Male,25000.0,1,3.51,82.0,2,31.3,1,0,4.1,2.35,2.56,2.52,Year 2,1,0,False,False,False,False,True
79,21.2,Male,25000.0,1,4.16,76.1,2,25.1,0,0,6.1,0.7,1.08,1.27,Year 4,0,0,False,False,False,True,False
80,17.0,Female,29235.0,1,4.53,65.0,0,39.1,0,1,4.7,1.57,1.17,1.17,Year 1,0,0,False,False,True,False,False
82,21.8,Male,53998.0,1,5.25,87.7,1,17.8,0,0,7.7,0.87,0.76,0.76,Year 1,2,0,False,False,True,False,False
83,24.3,Male,25000.0,1,5.56,82.4,2,32.7,0,1,5.4,0.83,0.86,0.89,Year 3,1,0,False,False,False,True,False
84,19.9,Male,25000.0,1,6.75,83.1,0,52.2,0,0,5.5,1.96,1.86,1.86,Year 4,2,0,False,False,False,False,True
85,19.2,Male,25000.0,1,2.8,80.8,2,11.7,0,0,8.2,3.0,3.11,3.11,Year 4,1,0,True,False,False,False,False
86,19.9,Male,25000.0,1,4.37,83.7,0,16.3,0,0,7.4,3.03,2.94,2.94,Year 2,2,0,False,False,False,True,False
87,23.0,Female,25000.0,1,2.46,100.0,1,32.8,0,1,4.3,3.12,3.19,3.2,Year 3,2,0,True,False,False,False,False
88,21.7,Female,25000.0,1,4.79,79.2,3,43.5,1,0,7.4,1.22,1.44,1.42,Year 4,2,1,False,False,True,False,False
90,22.1,Female,32176.0,1,1.49,75.1,1,22.7,0,0,3.6,2.96,2.94,2.94,Year 1,1,0,False,False,False,False,True
91,21.2,Male,39933.0,1,4.35,66.8,1,35.0,0,0,7.8,2.37,2.7,2.64,Year 3,0,0,True,False,False,False,False
92,23.1,Male,33807.0,0,3.74,84.1,0,36.2,1,0,4.2,0.75,0.64,0.67,Year 4,0,1,False,True,False,False,False
94,20.3,Female,50359.0,1,3.62,100.0,0,39.9,0,0,4.8,3.28,3.68,3.63,Year 3,0,0,False,True,False,False,False
95,20.1,Male,25000.0,1,6.68,80.5,3,29.6,0,1,9.2,0.32,0.01,0.01,Year 1,0,0,True,False,False,False,False
96,17.8,Female,25000.0,1,4.75,79.9,0,9.0,0,0,3.8,0.31,0.4,0.43,Year 4,2,1,False,False,True,False,False
98,21.6,Female,29331.0,0,3.57,95.7,4,23.2,0,0,4.9,2.78,2.59,2.62,Year 2,3,0,False,True,False,False,False
99,21.0,Female,25000.0,1,1.48,72.1,2,45.7,0,1,6.4,1.86,2.13,2.13,Year 1,3,0,False,False,False,True,False
100,20.5,Female,51391.0,1,2.6,87.3,0,14.1,1,1,5.4,1.29,1.4,1.4,Year 2,0,0,False,False,True,False,False
101,17.9,Male,97535.0,1,6.19,96.6,1,24.2,0,1,4.3,4.0,4.0,4.0,Year 3,2,1,False,True,False,False,False
103,20.2,Female,31276.0,1,4.59,72.7,1,59.0,1,0,7.9,2.1,2.3,2.3,Year 1,1,0,False,False,False,True,False
104,19.2,Female,49497.0,1,4.51,88.3,2,53.5,0,1,2.6,3.2,3.28,3.24,Year 4,1,0,False,True,False,False,False
105,20.6,Male,25000.0,1,5.84,71.2,2,29.5,0,0,4.3,1.92,1.95,1.92,Year 4,1,0,False,False,False,False,True
110,20.8,Female,26596.0,1,3.64,87.1,2,46.3,0,0,6.6,1.59,1.43,1.43,Year 2,1,0,False,True,False,False,False
111,17.0,Female,28669.0,0,6.21,93.1,0,31.7,0,1,6.4,3.82,4.0,4.0,Year 1,1,0,False,True,False,False,False
112,20.9,Male,25000.0,0,2.63,76.8,1,53.4,1,0,6.8,0.96,1.19,1.19,Year 1,1,1,False,True,False,False,False
113,21.1,Female,104579.0,1,3.34,87.0,2,24.7,1,0,6.1,2.47,2.67,2.68,Year 3,2,0,False,False,False,False,True
114,26.4,Female,25000.0,1,1.63,83.9,2,28.9,0,0,4.9,1.34,2.12,2.13,Year 2,0,1,True,False,False,False,False
115,20.6,Male,25000.0,1,5.31,75.7,1,29.0,1,0,7.2,1.81,1.49,1.49,Year 4,0,0,False,True,False,False,False
116,21.7,Male,28108.0,1,4.45,79.2,3,14.4,0,1,4.6,3.06,2.83,2.83,Year 1,1,0,False,True,False,False,False
117,20.9,Female,51263.0,1,6.26,86.6,0,43.3,0,1,5.2,2.45,2.48,2.48,Year 4,0,0,False,False,True,False,False
118,18.4,Female,30045.0,0,3.17,73.0,2,26.0,1,0,2.5,3.4,2.71,2.69,Year 4,2,0,False,False,False,False,True
119,23.5,Male,39789.0,1,2.97,72.4,2,33.1,1,1,4.6,2.9,2.99,2.96,Year 3,1,0,False,False,False,False,True
121,22.7,Male,72592.0,0,4.59,75.8,3,50.7,0,1,5.5,2.31,1.81,1.83,Year 2,1,1,True,False,False,False,False
123,24.1,Male,55749.0,1,4.39,77.9,0,30.7,0,0,4.7,0.0,0.0,0.0,Year 4,1,0,True,False,False,False,False
124,17.9,Male,37016.0,1,3.45,92.2,1,15.3,1,0,4.8,1.42,1.18,1.18,Year 1,1,0,False,False,True,False,False
125,22.3,Female,48773.0,1,5.87,70.4,2,38.9,0,0,4.5,1.96,1.85,1.87,Year 4,0,1,True,False,False,False,False
126,25.8,Female,25000.0,1,5.64,86.1,3,43.0,1,0,5.9,3.4,3.39,3.41,Year 4,2,0,False,False,False,False,True
127,18.8,Male,25000.0,1,4.11,79.1,1,18.9,1,0,8.3,2.14,1.9,1.92,Year 2,2,0,False,False,True,False,False
128,19.8,Female,66695.0,1,5.37,81.2,0,28.3,0,0,1.3,3.86,4.0,4.0,Year 1,1,0,False,False,False,False,True
129,21.2,Female,75799.0,1,3.83,87.5,1,30.9,0,1,4.6,1.93,1.85,1.8,Year 2,0,0,True,False,False,False,False
130,19.9,Male,25000.0,1,3.94,60.9,2,43.0,0,0,4.9,1.89,1.9,1.92,Year 3,0,1,True,False,False,False,False
131,17.6,Female,34539.0,1,1.19,64.9,1,28.2,0,0,1.7,1.94,1.85,1.93,Year 3,1,0,False,True,False,False,False
132,21.2,Male,25000.0,1,4.66,81.5,2,41.5,0,0,5.3,1.7,1.5,1.5,Year 4,1,0,False,False,True,False,False
133,18.7,Female,25000.0,1,4.03,80.2,2,20.7,0,1,4.9,2.3,2.28,2.28,Year 1,0,0,True,False,False,False,False
134,22.0,Male,35274.0,1,5.14,70.6,3,17.3,0,0,4.7,2.45,2.56,2.56,Year 1,0,0,False,False,False,True,False
135,19.0,Female,58958.0,1,4.93,98.0,1,52.0,0,0,3.5,2.8,2.78,2.72,Year 4,2,0,False,False,False,False,True
136,24.4,Male,38988.0,1,3.03,72.7,1,14.3,1,1,5.3,1.89,1.78,1.79,Year 3,2,0,False,False,False,True,False
137,19.3,Female,25000.0,1,3.75,77.7,2,21.0,1,0,3.4,2.18,2.3,2.29,Year 3,3,0,False,False,True,False,False
138,20.3,Female,40494.0,0,3.38,91.2,2,39.4,0,1,4.0,1.9,1.89,1.88,Year 2,1,0,False,False,True,False,False
139,22.8,Male,25000.0,1,5.36,76.6,3,23.6,0,0,5.1,3.36,3.88,3.95,Year 3,1,0,True,False,False,False,False
140,18.3,Male,38073.0,1,6.05,75.1,1,23.3,0,0,7.3,1.17,0.89,1.01,Year 3,0,0,False,True,False,False,False
141,21.5,Male,68726.0,1,5.04,85.1,1,27.6,1,0,6.2,0.72,0.87,0.83,Year 3,1,1,False,False,True,False,False
142,23.9,Female,25000.0,0,6.58,76.1,1,5.0,0,0,6.6,3.6,3.93,3.93,Year 1,1,0,False,False,True,False,False
143,17.5,Male,47971.0,1,4.68,85.2,2,43.4,0,0,9.0,3.09,3.01,2.96,Year 2,1,0,False,False,False,False,True
144,21.4,Female,25000.0,1,2.73,86.1,1,32.1,0,1,6.3,2.39,2.62,2.63,Year 3,0,0,False,True,False,False,False
145,21.6,Male,62131.0,1,2.2,85.0,4,20.3,1,0,3.6,0.9,0.97,0.97,Year 4,0,0,True,False,False,False,False
146,22.7,Male,25000.0,1,2.8,91.4,3,9.4,0,1,4.5,2.11,2.71,2.73,Year 2,2,0,False,False,False,True,False
147,18.3,Male,25000.0,1,3.41,78.9,1,13.6,0,1,4.0,1.81,1.98,1.91,Year 2,0,0,False,True,False,False,False
148,18.1,Male,45124.0,1,3.12,78.0,0,10.9,0,1,5.3,2.68,2.23,2.27,Year 2,2,0,False,False,False,True,False
149,22.1,Female,36994.0,1,4.07,81.3,3,32.7,0,0,4.8,2.89,3.07,3.09,Year 2,0,0,False,False,False,False,True
150,21.7,Female,25000.0,1,3.77,59.4,5,32.8,0,0,3.8,3.15,3.26,3.26,Year 1,1,0,False,False,True,False,False
151,21.6,Male,25000.0,1,4.1,83.7,0,37.3,1,1,7.2,2.21,2.55,2.53,Year 4,0,0,False,False,True,False,False
152,21.8,Female,26569.0,1,7.17,79.4,2,38.8,1,1,7.3,0.92,1.25,1.25,Year 1,1,0,False,True,False,False,False
153,19.5,Male,25000.0,1,5.14,85.1,1,37.5,1,1,5.8,3.84,3.78,3.86,Year 4,2,0,False,False,False,True,False
154,21.5,Female,25000.0,1,4.35,74.8,1,48.5,0,0,3.7,3.68,3.49,3.42,Year 2,1,0,True,False,False,False,False
155,21.6,Male,31868.0,1,5.38,92.8,4,44.3,0,1,5.7,4.0,4.0,4.0,Year 1,1,0,False,True,False,False,False
156,19.4,Female,25000.0,0,2.95,80.3,2,41.5,1,0,4.4,3.72,3.87,3.87,Year 1,2,0,False,True,False,False,False
157,25.1,Female,38404.0,1,2.9,88.7,1,32.8,0,0,7.8,0.63,0.88,0.88,Year 1,3,1,False,True,False,False,False
158,22.0,Male,72699.0,1,5.19,77.9,2,38.6,0,0,3.3,3.6,3.55,3.55,Year 1,2,0,False,False,False,False,True
160,22.4,Male,32148.0,1,4.16,69.6,0,27.3,1,1,6.6,1.7,1.54,1.54,Year 1,0,0,False,True,False,False,False
161,18.9,Male,99793.0,1,2.51,64.4,4,50.7,0,1,7.1,2.51,2.29,2.29,Year 1,0,0,False,False,False,False,True
162,22.7,Male,25000.0,1,3.38,80.3,1,23.3,0,0,5.9,2.79,2.78,2.77,Year 3,2,0,False,True,False,False,False
163,23.5,Male,60763.0,1,3.47,81.8,1,22.4,1,0,4.9,1.29,1.09,1.16,Year 2,1,0,False,False,True,False,False
164,19.2,Male,56529.0,1,3.37,81.2,1,25.7,0,0,9.8,1.17,1.01,1.06,Year 2,1,1,False,True,False,False,False
165,23.1,Male,49642.0,1,6.79,79.7,3,23.4,1,0,3.9,2.11,2.14,2.18,Year 3,2,0,False,False,False,False,True
166,21.9,Male,64541.0,1,6.76,78.8,2,24.4,0,0,6.8,2.74,2.61,2.62,Year 3,1,0,False,False,True,False,False
167,22.8,Male,35184.0,1,5.48,87.4,1,32.9,1,1,5.5,2.56,3.08,3.08,Year 1,0,0,True,False,False,False,False
169,20.5,Female,57339.0,1,3.24,100.0,2,40.9,0,1,6.1,4.0,4.0,4.0,Year 2,1,0,True,False,False,False,False
170,19.3,Male,58671.0,1,2.65,90.8,1,56.3,1,0,3.6,4.0,3.78,3.81,Year 3,1,0,True,False,False,False,False
171,19.0,Male,57710.0,1,4.44,63.7,0,25.6,1,1,3.1,0.91,1.01,0.97,Year 3,1,0,False,False,False,False,True
172,19.2,Male,30537.0,0,5.66,90.4,0,29.2,1,1,3.2,4.0,3.73,3.73,Year 4,1,0,False,False,False,True,False
174,21.8,Female,33350.0,1,4.13,81.2,1,14.5,1,1,5.9,1.01,0.8,0.8,Year 1,0,0,False,False,False,True,False
175,21.6,Male,52331.0,1,4.87,89.4,2,28.2,0,1,4.3,3.97,3.53,3.54,Year 3,0,0,False,False,False,True,False
176,22.8,Male,54974.0,0,3.98,84.9,1,35.6,0,0,2.9,2.24,2.68,2.68,Year 1,2,0,False,False,False,False,True
177,21.0,Male,25000.0,1,3.64,81.9,0,35.9,0,0,7.2,2.22,2.25,2.23,Year 2,1,0,False,True,False,False,False
178,24.2,Male,35926.0,1,2.68,84.0,4,37.4,0,0,2.7,1.21,1.66,1.71,Year 2,0,0,False,True,False,False,False
179,20.4,Female,25000.0,1,3.57,77.6,1,45.1,0,0,6.4,2.34,2.05,1.99,Year 4,1,0,False,True,False,False,False
180,27.0,Female,53689.0,1,4.39,67.3,2,50.5,1,0,4.1,3.47,3.57,3.54,Year 3,1,0,False,True,False,False,False
181,22.4,Male,25000.0,1,3.46,67.0,6,27.1,0,1,7.7,0.02,0.29,0.29,Year 1,1,1,False,False,False,True,False
182,19.1,Female,47627.0,1,2.51,89.3,5,20.4,0,0,4.6,2.01,2.09,2.11,Year 3,0,0,False,False,False,False,True
183,18.6,Male,25000.0,1,4.15,73.8,1,37.9,0,0,2.3,2.55,2.26,2.26,Year 1,1,0,True,False,False,False,False
184,22.1,Male,55207.0,0,4.39,69.8,2,41.2,0,0,5.4,3.18,2.81,2.8,Year 2,0,0,False,True,False,False,False
185,20.5,Female,36066.0,1,3.52,69.6,3,31.6,1,1,4.0,1.87,1.74,1.77,Year 2,1,0,False,False,False,False,True
186,22.6,Female,25000.0,1,3.97,78.2,0,27.9,0,1,7.0,2.61,2.35,2.32,Year 2,2,0,False,False,False,True,False
187,22.0,Male,45018.0,1,0.71,94.1,1,24.0,0,1,6.1,1.06,1.43,1.41,Year 3,2,0,True,False,False,False,False
188,20.8,Male,25000.0,1,4.96,80.8,1,29.5,1,0,4.4,3.54,3.43,3.43,Year 2,0,0,False,False,True,False,False
189,19.1,Female,46618.0,1,4.37,70.6,2,38.3,0,1,3.7,4.0,3.93,4.0,Year 2,1,0,True,False,False,False,False
190,17.7,Female,25224.0,0,5.84,93.9,1,22.0,1,0,3.5,3.77,3.79,3.73,Year 4,1,0,False,False,False,True,False
191,20.0,Male,25000.0,1,3.72,84.6,1,20.4,0,0,4.4,2.45,2.51,2.51,Year 1,0,0,False,True,False,False,False
192,22.9,Male,25000.0,1,4.95,79.2,1,37.2,0,0,8.0,1.96,1.95,2.01,Year 4,0,0,False,True,False,False,False
193,21.5,Male,25000.0,0,5.53,85.9,3,19.8,0,0,5.2,2.93,2.67,2.67,Year 1,3,0,False,False,True,False,False
194,18.3,Female,67570.0,1,4.03,82.1,0,31.8,1,1,7.2,2.08,2.29,2.29,Year 4,2,0,False,False,True,False,False
195,21.4,Female,51056.0,1,4.45,76.3,1,31.2,1,0,2.8,2.71,2.94,2.97,Year 3,0,0,False,False,False,False,True
196,21.8,Male,78772.0,1,4.19,77.6,2,30.0,0,0,2.0,3.06,2.95,2.95,Year 1,0,0,True,False,False,False,False
197,19.1,Female,80192.0,1,1.92,72.1,4,22.3,1,1,3.8,3.19,3.29,3.22,Year 4,1,0,True,False,False,False,False
198,21.3,Female,25000.0,1,4.5,78.2,3,50.8,1,1,6.7,0.51,0.22,0.19,Year 4,0,1,False,True,False,False,False
199,21.1,Male,26553.0,0,2.78,89.4,0,34.8,0,0,5.0,2.63,3.2,3.24,Year 3,0,0,True,False,False,False,False
200,18.5,Male,25000.0,1,2.88,89.2,0,23.8,1,0,7.1,1.1,1.4,1.4,Year 1,0,0,True,False,False,False,False
201,21.8,Female,25000.0,1,4.68,80.6,2,34.0,0,0,7.8,1.81,2.04,2.15,Year 2,2,0,False,False,False,True,False
202,22.2,Female,25000.0,1,5.68,80.7,3,52.0,1,0,3.8,2.0,2.07,2.07,Year 1,2,1,False,False,False,False,True
204,23.3,Female,25000.0,1,4.76,85.2,1,48.4,1,1,8.0,3.14,2.85,2.97,Year 3,1,0,True,False,False,False,False
205,18.0,Male,29129.0,0,4.44,70.9,4,16.2,0,0,7.4,2.38,2.25,2.25,Year 1,0,0,False,False,True,False,False
206,18.9,Male,105817.0,0,5.13,88.7,5,19.8,0,0,2.6,2.2,2.06,2.11,Year 4,0,0,False,False,True,False,False
207,22.1,Female,25000.0,0,6.19,85.3,2,5.0,0,1,2.2,4.0,3.81,3.82,Year 2,0,0,True,False,False,False,False
208,22.1,Male,33418.0,1,3.25,79.9,2,53.7,0,0,4.7,1.84,2.04,2.01,Year 4,2,0,False,True,False,False,False
209,22.1,Female,51225.0,1,3.29,85.5,0,9.6,1,0,4.8,1.59,1.56,1.56,Year 1,0,0,True,False,False,False,False
210,29.5,Female,35178.0,1,4.95,79.3,2,32.1,1,0,7.0,2.72,2.76,2.65,Year 3,1,0,False,True,False,False,False
211,22.3,Female,35436.0,1,1.78,83.5,1,50.9,0,0,3.8,2.86,2.69,2.73,Year 2,2,0,False,False,False,True,False
212,23.5,Male,25000.0,1,3.87,83.7,1,41.7,0,0,6.2,1.51,1.37,1.29,Year 2,2,0,False,False,False,True,False
213,23.1,Female,25871.0,1,4.34,91.3,2,34.5,0,1,3.6,3.78,3.79,3.81,Year 4,1,0,True,False,False,False,False
214,22.4,Female,25000.0,0,3.29,85.9,2,45.4,0,0,6.1,1.57,1.48,1.5,Year 2,1,1,True,False,False,False,False
215,20.3,Female,49396.0,1,1.51,90.4,1,22.0,1,1,4.7,1.74,2.44,2.44,Year 1,0,1,True,False,False,False,False
216,22.7,Male,25000.0,1,5.8,85.1,5,36.2,0,1,6.1,4.0,4.0,4.0,Year 4,2,0,False,False,False,False,True
217,19.3,Male,53245.0,1,3.22,81.5,0,28.6,1,1,4.8,2.1,2.22,2.23,Year 3,1,0,True,False,False,False,False
218,20.5,Male,25000.0,1,3.28,86.1,1,28.4,1,0,1.5,3.29,3.33,3.33,Year 1,3,0,False,False,False,True,False
219,19.9,Male,52974.0,1,5.73,84.8,2,32.3,1,0,6.4,1.88,1.72,1.72,Year 1,1,0,False,False,False,True,False
220,21.2,Male,25000.0,1,0.5,79.1,0,44.1,0,0,7.6,1.87,1.27,1.27,Year 1,0,0,False,True,False,False,False
221,26.1,Female,25000.0,1,5.96,70.7,3,48.8,1,0,4.0,2.38,1.77,1.77,Year 1,1,0,True,False,False,False,False
222,17.0,Female,42091.0,0,6.89,77.8,3,26.8,1,0,7.0,3.04,3.42,3.46,Year 3,0,0,False,False,False,True,False
223,22.5,Female,51910.0,1,2.84,77.8,0,16.9,1,0,4.4,2.3,2.39,2.43,Year 4,1,0,False,False,True,False,False
224,17.5,Female,25000.0,1,3.36,86.4,1,20.2,1,1,3.1,2.88,2.8,2.8,Year 1,0,0,False,False,True,False,False
225,20.0,Male,45815.0,1,4.63,81.5,2,53.4,0,1,4.4,3.35,4.0,4.0,Year 1,1,0,True,False,False,False,False
